original_title,overview,genres,keywords,popularity,cast,director,content
Superman Returns,superman returns to discover his 5year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,adventure fantasy action science fiction,saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor,57.925623,brandon routh kevin spacey kate bosworth james marsden parker posey,bryan singer,superman returns to discover his 5year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel adventure fantasy action science fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor brandon routh kevin spacey kate bosworth james marsden parker posey bryan singer
Quantum of Solace,quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined,adventure action thriller crime,killing undercover secret agent british secret service,107.928811,daniel craig olga kurylenko mathieu amalric judi dench giancarlo giannini,marc forster,quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined adventure action thriller crime killing undercover secret agent british secret service daniel craig olga kurylenko mathieu amalric judi dench giancarlo giannini marc forster
Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,adventure fantasy action,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger,145.847379,johnny depp orlando bloom keira knightley stellan skarsgård bill nighy,gore verbinski,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley stellan skarsgård bill nighy gore verbinski
The Lone Ranger,the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice,action adventure western,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,49.046956,johnny depp armie hammer william fichtner helena bonham carter james badge dale,gore verbinski,the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto johnny depp armie hammer william fichtner helena bonham carter james badge dale gore verbinski
Man of Steel,a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,action adventure fantasy science fiction,saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,99.398009,henry cavill amy adams michael shannon kevin costner diane lane,zack snyder,a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind action adventure fantasy science fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe henry cavill amy adams michael shannon kevin costner diane lane zack snyder
The Chronicles of Narnia: Prince Caspian,one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir,adventure family fantasy,based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world,53.978602,ben barnes william moseley anna popplewell skandar keynes georgie henley,andrew adamson,one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir adventure family fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world ben barnes william moseley anna popplewell skandar keynes georgie henley andrew adamson
The Avengers,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,science fiction action adventure,new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,144.448633,robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson,joss whedon,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins science fiction action adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson joss whedon
Pirates of the Caribbean: On Stranger Tides,captain jack sparrow crosses paths with a woman from his past and hes not sure if its love or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past,adventure action fantasy,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,135.413856,johnny depp penélope cruz ian mcshane kevin mcnally geoffrey rush,rob marshall,captain jack sparrow crosses paths with a woman from his past and hes not sure if its love or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnny depp penélope cruz ian mcshane kevin mcnally geoffrey rush rob marshall
Men in Black 3,agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind,action comedy science fiction,time travel time machine alien fictional government agency seeing the future changing history,52.035179,will smith tommy lee jones josh brolin michael stuhlbarg emma thompson,barry sonnenfeld,agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind action comedy science fiction time travel time machine alien fictional government agency seeing the future changing history will smith tommy lee jones josh brolin michael stuhlbarg emma thompson barry sonnenfeld
The Hobbit: The Battle of the Five Armies,immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands,action adventure fantasy,corruption elves dwarves orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword and sorcery,120.965743,martin freeman ian mckellen richard armitage ken stott graham mctavish,peter jackson,immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands action adventure fantasy corruption elves dwarves orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword and sorcery martin freeman ian mckellen richard armitage ken stott graham mctavish peter jackson
The Amazing Spider-Man,peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero,action adventure fantasy,loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,89.866276,andrew garfield emma stone rhys ifans denis leary campbell scott,marc webb,peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero action adventure fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger andrew garfield emma stone rhys ifans denis leary campbell scott marc webb
Robin Hood,when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey,action adventure,robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england,37.668301,russell crowe cate blanchett max von sydow william hurt mark strong,ridley scott,when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey action adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england russell crowe cate blanchett max von sydow william hurt mark strong ridley scott
The Hobbit: The Desolation of Smaug,the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug,adventure fantasy,elves dwarves orcs hobbit dragon wizard sword and sorcery,94.370564,martin freeman ian mckellen richard armitage ken stott graham mctavish,peter jackson,the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug adventure fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery martin freeman ian mckellen richard armitage ken stott graham mctavish peter jackson
The Golden Compass,after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny,adventure fantasy,england compass experiment lordship uncle polar bear orphan animal based on young adult novel,42.990906,dakota blue richards nicole kidman daniel craig sam elliott eva green,chris weitz,after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny adventure fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel dakota blue richards nicole kidman daniel craig sam elliott eva green chris weitz
King Kong,in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady,adventure drama action,film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,61.22601,naomi watts jack black adrien brody thomas kretschmann colin hanks,peter jackson,in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady adventure drama action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur naomi watts jack black adrien brody thomas kretschmann colin hanks peter jackson
Titanic,84 years later a 101yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fiancé caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 220 in the morning,drama romance thriller,shipwreck iceberg ship panic titanic ocean liner epic rich woman poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,100.025899,kate winslet leonardo dicaprio frances fisher billy zane kathy bates,james cameron,84 years later a 101yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fiancé caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 220 in the morning drama romance thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s kate winslet leonardo dicaprio frances fisher billy zane kathy bates james cameron
Captain America: Civil War,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,adventure action science fiction,civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,198.372395,chris evans robert downey jr scarlett johansson sebastian stan anthony mackie,anthony russo,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies adventure action science fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d chris evans robert downey jr scarlett johansson sebastian stan anthony mackie anthony russo
Battleship,when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiancées father admiral shane expect of him,thriller action adventure science fiction,fight us navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri,64.928382,taylor kitsch alexander skarsgård rihanna brooklyn decker tadanobu asano,peter berg,when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiancées father admiral shane expect of him thriller action adventure science fiction fight us navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri taylor kitsch alexander skarsgård rihanna brooklyn decker tadanobu asano peter berg
Jurassic World,twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond,action adventure science fiction thriller,monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror,418.708552,chris pratt bryce dallas howard irrfan khan vincent donofrio nick robinson,colin trevorrow,twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror chris pratt bryce dallas howard irrfan khan vincent donofrio nick robinson colin trevorrow
Skyfall,when bonds latest assignment goes gravely wrong and agents around the world are exposed mi6 is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromised from both inside and out m is left with one ally she can trust bond 007 takes to the shadows aided only by field agent eve following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves,action adventure thriller,spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao,93.004993,daniel craig judi dench javier bardem ralph fiennes naomie harris,sam mendes,when bonds latest assignment goes gravely wrong and agents around the world are exposed mi6 is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromised from both inside and out m is left with one ally she can trust bond 007 takes to the shadows aided only by field agent eve following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves action adventure thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao daniel craig judi dench javier bardem ralph fiennes naomie harris sam mendes
Spider-Man 2,peter parker is going through a major identity crisis burned out from being spiderman he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still cant act on his feelings for mary jane watson a girl hes loved since childhood,action adventure fantasy,dual identity love of ones life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain,35.149586,tobey maguire kirsten dunst james franco alfred molina rosemary harris,sam raimi,peter parker is going through a major identity crisis burned out from being spiderman he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still cant act on his feelings for mary jane watson a girl hes loved since childhood action adventure fantasy dual identity love of ones life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain tobey maguire kirsten dunst james franco alfred molina rosemary harris sam raimi
Iron Man 3,when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution,action adventure science fiction,terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis,77.68208,robert downey jr gwyneth paltrow don cheadle guy pearce rebecca hall,shane black,when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution action adventure science fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis robert downey jr gwyneth paltrow don cheadle guy pearce rebecca hall shane black
Alice in Wonderland,alice an unpretentious and individual 19yearold is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason to conquer the horrific jabberwocky and restore the rightful queen to her throne,family fantasy adventure,based on novel fictional place queen fantasy alice in wonderland fantasy world 3d,78.530105,mia wasikowska johnny depp anne hathaway helena bonham carter crispin glover,tim burton,alice an unpretentious and individual 19yearold is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason to conquer the horrific jabberwocky and restore the rightful queen to her throne family fantasy adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d mia wasikowska johnny depp anne hathaway helena bonham carter crispin glover tim burton
X-Men: The Last Stand,when a cure is found to treat mutations lines are drawn amongst the xmen and the brotherhood a band of powerful mutants organized under xaviers former ally magneto,adventure action science fiction thriller,mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger,3.857526,hugh jackman halle berry ian mckellen patrick stewart famke janssen,brett ratner,when a cure is found to treat mutations lines are drawn amongst the xmen and the brotherhood a band of powerful mutants organized under xaviers former ally magneto adventure action science fiction thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger hugh jackman halle berry ian mckellen patrick stewart famke janssen brett ratner
